类别,金额,已收金额,日期,源账户,目标账户,描述,代理,货币,检查编号,时间
交通,-14.0,,2025-08-15 23:40:11,支付宝,,高德打车订单,高德打车,CNY,,
日常开支,-41.12,,2025-08-15 18:13:59,支付宝,,为15651762625话费充值,中国联通,CNY,,
食品,-19.58,,2025-08-15 12:12:09,支付宝,,智盘消费_迈志豪-自选餐线A-机具5364_刷脸时间_2025-08-15 12:12,自选餐线A,CNY,,
食品,-43.16,,2025-08-14 22:34:15,支付宝,,鸡柳大人(宝龙广场店)外卖订单,淘宝闪购,CNY,,
食品,-21.3,,2025-08-14 12:16:21,支付宝,,智盘消费_迈志豪-自选餐线A-机具5364_刷脸时间_2025-08-14 12:16,自选餐线A,CNY,,
食品,-24.3,,2025-08-13 22:55:58,支付宝,,古茗(余杭江南时代店)外卖订单,淘宝闪购,CNY,,
食品,-23.0,,2025-08-13 12:11:49,支付宝,,智盘消费_迈志豪把子肉-机具5362_刷脸时间_2025-08-13 12:11,擂椒拌饭,CNY,,
食品,-23.0,,2025-08-12 12:23:39,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-26.2,,2025-08-12 12:02:41,支付宝,,智盘消费_麦金地-星级自选-机具5377_刷脸时间_2025-08-12 12:02,麦选优品2,CNY,,
医疗,-26.4,,2025-08-12 10:59:05,支付宝,,2025.8月保费缴清-好医保・门诊险-*冲,国泰财产保险有限责任公司,CNY,,
其他,-649.0,,2025-08-11 22:42:05,支付宝,,【优惠价】andis安迪斯D8复古油头雕刻电推剪发廊专业刻痕电推子0刀头理发器 等多件,an**店,CNY,,
食品,-18.0,,2025-08-11 13:44:39,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-17.8,,2025-08-11 12:29:29,支付宝,,智盘消费_麦金地-星级自选-机具5377_刷脸时间_2025-08-11 12:29,麦选优品2,CNY,,
交通,-14.08,,2025-08-10 23:33:01,支付宝,,高德打车订单,高德打车,CNY,,
食品,-86.6,,2025-08-10 19:28:13,支付宝,,麒麟奶油西瓜半个装 2.3kg等多件,杭州盒马,CNY,,
投资,-251.4,,2025-08-10 11:28:40,支付宝,,商品,沃尔玛（中国）投资有限公司,CNY,,
娱乐,-318.0,,2025-08-09 19:41:28,支付宝,,MeiKTV#61_0,魅KTV杭州华夏之心店,CNY,,
交通,-16.1,,2025-08-09 14:29:55,支付宝,,高德打车订单,高德打车,CNY,,
交通,-16.02,,2025-08-09 12:15:35,支付宝,,高德打车订单,高德打车,CNY,,
交通,-41.85,,2025-08-08 21:38:51,支付宝,,高德打车订单,高德打车,CNY,,
食品,-18.0,,2025-08-08 13:38:59,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-17.0,,2025-08-08 12:10:41,支付宝,,智盘消费_迈志豪把子肉-机具5362_刷脸时间_2025-08-08 12:10,擂椒拌饭,CNY,,
娱乐,-151.8,,2025-08-07 22:21:21,支付宝,,【官方秒发】任天堂eshop日服NS充值卡日本Switch日区点卡500日元,南京**司,CNY,,
食品,-17.0,,2025-08-07 12:07:15,支付宝,,智盘消费_迈志豪-烧腊-机具5665_刷脸时间_2025-08-07 12:07,优选潮味,CNY,,
食品,-23.0,,2025-08-06 14:23:52,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-23.2,,2025-08-06 12:07:49,支付宝,,智盘消费_菜鸟-礼信-麻辣潘小匠1-7128_刷脸时间_2025-08-06 12:07,麻辣潘小匠1,CNY,,
食品,-15.0,,2025-08-05 12:15:57,支付宝,,智盘消费_麦金地-鱼鱼生香-机具5371_刷脸时间_2025-08-05 12:15,鱼鱼生香,CNY,,
食品,-3.0,,2025-08-04 18:07:31,支付宝,,智盘消费_麦金地-麦选优品-机具5376_刷脸时间_2025-08-04 18:07,麦选优品,CNY,,
食品,-23.0,,2025-08-04 12:13:43,支付宝,,智盘消费_麦金地-星级自选-机具5377_刷脸时间_2025-08-04 12:13,麦选优品2,CNY,,
住宅,-6.2,,2025-08-04 11:10:46,支付宝,,燃气费-*层庆,杭州余杭港华燃气,CNY,,
住宅,-520.44,,2025-08-04 00:04:22,支付宝,,电费,余杭供电局,CNY,,
食品,-54.06,,2025-08-03 11:12:20,支付宝,,丽水鲜香菇 约150g等多件,杭州盒马,CNY,,
交通,-27.96,,2025-08-02 21:23:51,支付宝,,高德打车订单,高德打车,CNY,,
食品,-3.5,,2025-08-02 20:50:39,支付宝,,消费-6341-杭州浙大紫金港西区奶吧,温州一鸣食品销售有限公司,CNY,,
食品,-132.0,,2025-08-02 19:35:17,支付宝,,美团/大众点评点餐订单-08024719796551378018848,松花江上东北菜,CNY,,
食品,-36.95,,2025-08-02 14:27:42,支付宝,,瑞幸咖啡(星创新里程店)外卖订单,淘宝闪购,CNY,,
亲属,-199.0,,2025-08-02 01:34:15,支付宝,,电费自动缴费-*东亚-父母-根据每期出账后自动缴费,徐州供电公司,CNY,,
食品,-143.48,,2025-08-01 18:42:33,支付宝,,煲汤菌菇拼盘(鸡枞+虫草花) 130g等多件,杭州盒马,CNY,,
食品,-18.0,,2025-08-01 12:43:11,支付宝,,点餐-杭州菜鸟总部店,Manner Coffee,CNY,,
食品,-21.67,,2025-08-01 12:08:21,支付宝,,智盘消费_菜鸟-礼信-麻辣潘小匠1-7128_刷脸时间_2025-08-01 12:08,麻辣潘小匠1,CNY,,
